unique_values,counts
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - CellularComponent - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - CellularComponent - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",7
['Drug - Protein - ChemicalSubstance - GrossAnatomicalStructure - BiologicalProcess - Disease'],7
"['Drug - GeneFamily - BiologicalProcess - OrganismTaxon - Disease', 'Drug - Protein - BiologicalProcess - OrganismTaxon - Disease']",7
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - ChemicalSubstance - Disease']",6
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease']",6
['Drug - BiologicalProcess - GrossAnatomicalStructure - Disease'],6
['Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - Disease'],6
['Drug - Protein - BiologicalProcess - ChemicalSubstance - CellularComponent - PhenotypicFeature - OrganismTaxon - Disease'],6
['Drug - ChemicalSubstance - GrossAnatomicalStructure - Disease'],6
['Drug - Protein - BiologicalProcess - CellularComponent - Disease'],6
['Drug - OrganismTaxon - Disease'],6
"['Drug - Protein - Pathway - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - Pathway - BiologicalProcess - Disease']",6
"['Drug - Protein - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",6
['Drug - GeneFamily - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease'],6
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - MolecularActivity - ChemicalSubstance - BiologicalProcess - Disease']",6
['Drug - Protein - BiologicalProcess - PhenotypicFeature - ChemicalSubstance - Disease'],6
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Cell - Disease', 'Drug - Protein - BiologicalProcess - Cell - Disease']",6
['Drug - ChemicalSubstance - GeneFamily - MolecularActivity - BiologicalProcess - Disease'],6
"['Drug - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",5
"['Drug - MolecularActivity - Cell - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",5
['Drug - Protein - ChemicalSubstance - BiologicalProcess - GrossAnatomicalStructure - PhenotypicFeature - Disease'],5
['Drug - Protein - BiologicalProcess - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease'],5
['Drug - Protein - MolecularActivity - BiologicalProcess - Cell - Disease'],5
"['Drug - Protein - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - MolecularActivity - BiologicalProcess - Disease']",5
['Drug - Protein - Pathway - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease'],5
['Drug - GrossAnatomicalStructure - Disease'],5
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease']",5
['Drug - GeneFamily - BiologicalProcess - Cell - Disease'],5
['Drug - GeneFamily - MolecularActivity - ChemicalSubstance - BiologicalProcess - Disease'],5
['Drug - Protein - BiologicalProcess - CellularComponent - OrganismTaxon - Disease'],5
['Drug - GeneFamily - BiologicalProcess - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease'],5
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",5
"['Drug - CellularComponent - OrganismTaxon - Disease', 'Drug - MolecularActivity - OrganismTaxon - Disease']",5
['Drug - Protein - MolecularActivity - BiologicalProcess - ChemicalSubstance - Disease'],5
"['Drug - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease', 'Drug - GeneFamily - CellularComponent - OrganismTaxon - Disease']",5
"['Drug - ChemicalSubstance - CellularComponent - OrganismTaxon - Disease', 'Drug - BiologicalProcess - OrganismTaxon - Disease']",5
"['Drug - Protein - Pathway - BiologicalProcess - Cell - Disease', 'Drug - Protein - BiologicalProcess - Cell - Disease']",5
['Drug - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease'],4
['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - CellularComponent - OrganismTaxon - Disease'],4
['Drug - Protein - OrganismTaxon - Disease'],4
['Drug - ChemicalSubstance - GeneFamily - Disease'],4
['Drug - GrossAnatomicalStructure - PhenotypicFeature - Disease'],4
['Drug - Protein - ChemicalSubstance - CellularComponent - BiologicalProcess - GrossAnatomicalStructure - Disease'],4
['Drug - ChemicalSubstance - Protein - MolecularActivity - BiologicalProcess - OrganismTaxon - Disease'],4
['Drug - Protein - MolecularActivity - GrossAnatomicalStructure - BiologicalProcess - PhenotypicFeature - Disease'],4
"['Drug - ChemicalSubstance - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Protein - BiologicalProcess - PhenotypicFeature - Disease']",4
['Drug - PhenotypicFeature - Disease'],4
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Cell - Disease']",4
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Cell - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Cell - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",4
['Drug - Protein - BiologicalProcess - Pathway - OrganismTaxon - Disease'],4
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - PhenotypicFeature - Disease']",4
['Drug - Protein - ChemicalSubstance - Cell - GrossAnatomicalStructure - Disease'],4
['Drug - BiologicalProcess - Protein - Disease'],4
['Drug - Protein - MolecularActivity - ChemicalSubstance - Disease'],4
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - Disease']",4
['Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease'],4
"['Drug - CellularComponent - BiologicalProcess - OrganismTaxon - Disease', 'Drug - BiologicalProcess - OrganismTaxon - Disease']",4
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",4
['Drug - Protein - CellularComponent - BiologicalProcess - OrganismTaxon - Disease'],4
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",4
['Drug - GeneFamily - BiologicalProcess - ChemicalSubstance - Disease'],4
['Drug - Protein - CellularComponent - BiologicalProcess - Disease'],4
['Drug - Protein - ChemicalSubstance - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease'],4
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - Disease']",4
"['Drug - Protein - BiologicalProcess - ChemicalSubstance - PhenotypicFeature - Disease', 'Drug - Protein - MolecularActivity - ChemicalSubstance - PhenotypicFeature - Disease']",4
['Drug - Protein - Pathway - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease'],3
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - Disease']",3
"['Drug - ChemicalSubstance - GrossAnatomicalStructure - Disease', 'Drug - ChemicalSubstance - Disease']",3
"['Drug - Protein - GeneFamily - BiologicalProcess - Disease', 'Drug - Protein - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease', 'Drug - GeneFamily - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",3
"['Drug - Protein - ChemicalSubstance - GrossAnatomicalStructure - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",3
['Drug - Protein - Pathway - BiologicalProcess - ChemicalSubstance - Disease'],3
"['Drug - Protein - BiologicalProcess - CellularComponent - Cell - Disease', 'Drug - ChemicalSubstance - Disease']",3
"['Drug - MolecularActivity - BiologicalProcess - Disease', 'Drug - GeneFamily - BiologicalProcess - Disease']",3
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",3
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - CellularComponent - BiologicalProcess - PhenotypicFeature - Disease']",3
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - ChemicalSubstance - Disease']",3
['Drug - PhenotypicFeature - GrossAnatomicalStructure - Disease'],3
"['Drug - ChemicalSubstance - OrganismTaxon - Disease', 'Drug - GeneFamily - OrganismTaxon - Disease']",3
['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - PhenotypicFeature - Disease'],3
['Drug - Protein - MolecularActivity - PhenotypicFeature - Disease'],3
"['Drug - ChemicalSubstance - GeneFamily - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - PhenotypicFeature - Disease']",3
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease']",3
['Drug - ChemicalSubstance - Cell - BiologicalProcess - Disease'],3
"['Drug - BiologicalProcess - CellularComponent - PhenotypicFeature - OrganismTaxon - Disease', 'Drug - GrossAnatomicalStructure - CellularComponent - PhenotypicFeature - OrganismTaxon - Disease', 'Drug - ChemicalSubstance - CellularComponent - PhenotypicFeature - OrganismTaxon - Disease']",3
"['Drug - Protein - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - Protein - BiologicalProcess - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - BiologicalProcess - Disease']",3
"['Drug - BiologicalProcess - ChemicalSubstance - Disease', 'Drug - Protein - BiologicalProcess - ChemicalSubstance - Disease']",3
['Drug - Protein - Pathway - ChemicalSubstance - GrossAnatomicalStructure - Disease'],3
['Drug - ChemicalSubstance - GrossAnatomicalStructure - MolecularActivity - Disease'],3
['Drug - Protein - Pathway - PhenotypicFeature - Disease'],3
['Drug - Protein - BiologicalProcess - CellularComponent - GrossAnatomicalStructure - Disease'],3
['Drug - BiologicalProcess - CellularComponent - OrganismTaxon - Disease'],3
['Drug - Protein - BiologicalProcess - CellularComponent - GrossAnatomicalStructure - PhenotypicFeature - Disease'],3
['Drug - ChemicalSubstance - GeneFamily - Cell - BiologicalProcess - Disease'],3
['Drug - ChemicalSubstance - Protein - MolecularActivity - BiologicalProcess - PhenotypicFeature - Disease'],3
"['Drug - BiologicalProcess - Disease', 'Drug - Protein - PhenotypicFeature - Disease', 'Drug - ChemicalSubstance - Disease']",3
['Drug - Protein - MolecularActivity - ChemicalSubstance - PhenotypicFeature - Disease'],3
"['Drug - GeneFamily - BiologicalProcess - GrossAnatomicalStructure - Disease', 'Drug - Protein - BiologicalProcess - GrossAnatomicalStructure - Disease']",3
['Drug - MacromolecularComplex - BiologicalProcess - OrganismTaxon - Disease'],3
['Drug - Protein - MolecularActivity - Disease'],3
"['Drug - Protein - BiologicalProcess - Disease', 'Drug - CellularComponent - BiologicalProcess - Disease']",3
['Drug - Protein - GrossAnatomicalStructure - PhenotypicFeature - Disease'],3
['Drug - Protein - ChemicalSubstance - GrossAnatomicalStructure - PhenotypicFeature - Disease'],3
"['Drug - Protein - BiologicalProcess - OrganismTaxon - Disease', 'Drug - BiologicalProcess - OrganismTaxon - Disease']",3
"['Drug - Protein - ChemicalSubstance - BiologicalProcess - Disease', 'Drug - BiologicalProcess - Disease']",3
['Drug - Protein - Pathway - Disease'],3
